,hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code,b
6554,,,,,,,ZTF19aawsday,650.94,r,18.4027,-17.22,>31.087,>14.01,17.077,-21.80,0.62,0.143,AT2019hbr,,,,,0.02915,2.04075,27.003694444444445,SNIc,Ib/c,1,-34.877692266781494
6701,,,,,,,ZTF19acllsbq,812.67,r,18.7165,-19.01,67.251,21.32,45.931,-16.55,0.46,0.08,AT2019umt,,,,,0.0778,6.594041666666667,-12.076166666666666,SNIc,Ib/c,1,-73.8407482958709
6455,,,,,,,ZTF19aadnwvc,510.04,g,18.2339,-19.50,24.009,7.919,16.09,-18.54,0.88,0.087,AT2019ye,,,,,0.077,209.51425,20.63625,SNIa,Ia,0,73.46526488785115
6736,,,,,,,ZTF19adbsblp,850.63,r,18.9307,-17.54,32.827,8.177,24.65,-20.64,1.12,0.292,AT2019zri,,,,,0.0406,53.00870833333333,1.1764166666666669,SNII,II,2,-42.12674982853335
6751,,,,,,,ZTF20aaertpj,873.06,r,18.4695,-17.02,22.666,14.065,8.601,-19.72,0.63,0.027,AT2020pv,,,,,0.02875,216.9668333333333,33.56933333333334,SNIb,Ib/c,1,68.28112957658865
6862,,,,,,,ZTF20abusrwm,1095.96,r,18.691,-17.10,27.162,9.737,17.425,-16.20,0.78,0.181,AT2020rta,,,,,0.031,44.39470833333333,-5.077416666666666,SNIc,Ib/c,1,-52.74340196738417
6851,,,,,,,ZTF20aborzxc,1109.9,r,18.3411,-16.51,25.728,11.186,14.542,-19.74,0.81,0.211,AT2020szx,,,,,0.02,21.6275,10.72038888888889,SNIc,Ib/c,1,-51.20706111240821
6919,,,,,,,ZTF20acnwjwp,1157.66,g,18.5388,-19.44,24.609,8.623,15.986,-21.51,0.96,0.213,AT2020yla,,,,,0.08,327.4374583333333,22.67902777777778,SNIa,Ia,0,-23.612681619745302
6920,,,,,,,ZTF20acnznms,1200.95,g,18.5241,-21.33,101.801,43.867,57.934,-21.33,0.63,0.048,AT2020yue,,,,,0.204,165.001375,21.112722222222224,SLSN-II,II,2,63.93214468720627
7049,,,,,,,ZTF21aarmuxl,1319.71,r,18.7582,-17.85,22.311,15.023,7.288,-19.98,0.94,0.04,AT2021hpp,,,,,0.0475,141.24404166666667,42.80905555555555,SNIb/c,Ib/c,1,45.666650783852255
7220,,,,,,,ZTF22aafpbbu,1694.88,g,18.69,-19.40,>28.429,>12,16.429,-15.83,0.97,0.194,AT2022hec,,,,,0.08509,235.49516666666668,2.9301388888888886,SNIa,Ia,0,42.6248659477752
7439,,,,,,,ZTF23aadwjtg,2042.8,r,17.599,-18.86,>22.287,>11.07,11.217,-22.43,0.91,0.055,AT2023dyl,,,,,0.04416,150.74437500000002,2.343388888888889,SNIa,Ia,0,42.709748953307745
7013,,,,,,,ZTF21aantxma,1291.78,g,18.3343,-19.12,26.814,16.016,10.798,-22.15,1.02,0.02,AT2023xu,,,,,0.07023,160.47695833333336,58.25005555555556,SNIa,Ia,0,51.55838800695289
7193,,,,,,,ZTF21acipofv,1518.95,g,18.6062,-18.56,22.505,11.455,11.05,-22.18,1.15,0.122,SN2017baq,,,,,0.05814,134.69850000000002,1.8429166666666668,SNIa,Ia,0,28.94178648265168
6764,,,,,,,ZTF20aakyqlh,2056.78,g,18.2972,-19.20,>21.03,>10.02,>11.01,-21.97,1.02,0.029,SN2017bde,,,,,0.07138,187.2815833333333,36.456694444444445,SNIa,Ia,0,79.54127553700337
6669,,,,,,,ZTF19acdgwhq,785.79,r,17.7568,-17.95,23.202,11.519,11.683,-20.44,0.75,0.294,SN2017gcd,,,,,0.02859,44.035250000000005,15.213055555555554,SNIa,Ia,0,-37.960681902753414
4,,0.0229,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aabssth,,,,,,,,,,,SN2018aex,,,,,0.023,165.18908333333334,22.28748888888889,SNII,II,2,64.45574624715385
5,,0.0767,ZTF,ZTF,ZTF,ZTF,ZTF18aabsyqp,,,,,,,,,,,SN2018aey,,,,,0.077,162.8185,22.47761111111111,SNIa,Ia,0,62.404011232954225
7,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaibibr,,,,,,,,,,,SN2018baw,,,,,0.062,261.64162500000003,34.373555555555555,SNIa,Ia,0,31.553548943240745
6326,,,,,,,ZTF18aapictz,254.69,r,18.1307,-19.90,33.102,15.403,17.699,-17.26,0.33,0.061,SN2018bdg,,,,,0.09,179.90416666666667,27.530555555555555,SNIa-91T,Ia,0,78.48893658874252
6327,,,,,,,ZTF18aapifti,276.7,r,18.5164,-16.41,>72.189,42.219,>29.97,-22.96,1.05,0.1,SN2018bdv,,,,,0.0216,177.017625,30.36005555555556,SNIIP,II,2,75.7526634715715
6334,,,,,,,ZTF18aarbgdn,245.65,r,17.2666,-19.22,>16.002,3.922,>12.08,-22.20,0.97,0.096,SN2018bfh,,,,,0.044,155.67120833333334,15.939083333333334,SNIa,Ia,0,53.80131018662845
17,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aajpjdi,245.71,r,18.4652,-19.13,39.856,18.904,20.952,-20.07,0.53,0.04,SN2018bfx,,,,,0.0746,199.52761666666663,27.873394444444443,SNIa,Ia,0,84.03936231877498
20,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aakrnvd,,,,,,,,,,,SN2018bga,,,,,0.0453,224.084325,21.062402777777777,SNIIn,II,2,60.937517491286556
6330,,,,,,,ZTF18aaqkoyr,266.75,r,17.9096,-17.20,39.597,23.208,16.389,-20.44,0.66,0.053,SN2018bge,,,,,0.02389,166.06666666666666,50.03061111111112,SNII,II,2,59.29324474944253
22,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaqehoc,,,,,,,,,,,SN2018bgq,,,,,0.0622,228.18562916666667,40.109925,SNIa,Ia,0,58.115266954533155
6333,,,,,,,ZTF18aaqskoy,255.92,g,18.2535,-19.68,25.604,11.688,13.916,-15.75,1.05,0.065,SN2018bhv,,,,,0.085,255.90775,36.42919444444444,SNIa,Ia,0,36.53621277997661
6335,,,,,,,ZTF18aasdted,266.82,r,15.7176,-18.82,25.384,11.255,14.129,-18.76,0.50,0.082,SN2018big,,,,,0.01815,261.413125,59.44675,SNIa,Ia,0,33.923835844803385
29,,,ZTF,ZTF,ePESSTO,ZTF,ZTF18aarcypa,257.71,r,18.0875,-17.68,>23.601,11.631,>11.97,-21.23,1.07,0.074,SN2018bil,,,,,0.032,167.459325,28.971380555555555,SNIa,Ia,0,67.55058041650206
6339,,,,,,,ZTF18aaumeys,266.7,g,16.6581,-19.43,24.583,9.504,15.079,-18.60,0.49,0.026,SN2018bpd,,,,,0.03754,214.31291666666667,59.27636111111111,SNIa-91T,Ia,0,54.60438081852861
40,,,ZTF,ZTF,ZTF,ZTF,ZTF18aatzygk,,,,,,,,,,,SN2018bsu,,,,,0.08,251.38424166666664,59.918625,SNIa,Ia,0,38.86484402237947
6338,,,,,,,ZTF18aauizcr,269.68,r,16.8455,-19.02,20.377,10.931,9.446,-22.09,1.08,0.05,SN2018btb,,,,,0.03384,173.61612499999998,46.36261111111112,SNIa,Ia,0,65.48648501847238
6336,,,,,,,ZTF18aasxvsg,266.77,r,17.9771,-17.19,15.416,10.27,5.146,-18.89,0.62,0.024,SN2018bti,,,,,0.0248,217.129,37.06783333333334,SNII,II,2,67.25422299545471
6328,,,,,,,ZTF18aaqcqvr,257.78,r,18.2745,-19.22,26.171,11.871,14.3,-19.91,0.70,0.089,SN2018bvg,,,,,0.07,193.85275,45.578388888888895,SNIa,Ia,0,71.53292498846591
25,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaqjovh,248.74,r,18.3077,-18.58,25.566,8.684,16.882,-19.99,0.62,0.044,SN2018bvw,,,,,0.054,178.18175416666668,25.67503333333333,SNIc-BL,Ib/c,1,76.78081491622416
41,,,ZTF,ZTF,ZTF,ZTF,ZTF18aauenwu,,,,,,,,,,,SN2018bwa,,,,,0.0475,289.8946583333333,44.03395,SNIIn,II,2,13.802792267549144
44,,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aauworo,,,,,,,,,,,SN2018bwb,,,,,0.04981,239.671,21.12048055555556,SNIa,Ia,0,47.096058935319455
45,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aauxzle,,,,,,,,,,,SN2018bxl,,,,,0.04,215.64933333333332,74.83953055555556,SNII,II,2,40.89662736288666
6341,,,,,,,ZTF18aavrwhu,276.75,g,17.747,-19.45,27.056,11.148,15.908,-20.86,0.58,0.035,SN2018bxo,,,,,0.062,206.73520833333333,43.137277777777776,SNIa,Ia,0,70.4357210764315
47,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aavnvmp,,,,,,,,,,,SN2018bxr,,,,,0.064,204.697,30.95958333333333,SNIa,Ia,0,78.97219633370368
31,,,ZTF,ZTF,ZTF,ZTF,ZTF18aarxzmv,,,,,,,,,,,SN2018cbe,,,,,0.07,190.39966666666663,35.57699166666667,SNIa,Ia,0,81.29501577375514
6332,,,,,,,ZTF18aaqqoqs,261.74,g,18.3035,-19.47,24.21,8.527,15.683,-18.78,0.51,0.044,SN2018cbh,,,,,0.08,207.970375,47.256972222222224,SNIa-91T,Ia,0,66.64060479795128
61,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","None, ZTF",ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxkqgy,,,,,,,,,,,SN2018ccb,,,,,0.02,277.7387916666667,29.879819444444443,SNIIP,II,2,17.219845187172325
50,,,ZTF,ZTF,ZTF,ZTF,ZTF18aawjywv,272.89,g,17.7016,-18.58,20.477,8.517,11.96,-22.20,1.11,0.073,SN2018ccj,,,,,0.04,268.75020416666666,42.89833888888889,SNIa,Ia,0,27.990199436193528
53,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ASAS-SN, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF18aaxcntm,278.85,g,16.8016,-18.55,20.273,7.386,12.887,-22.33,1.19,0.026,SN2018ccl,,,,,0.026792,247.04641666666663,39.8201,SNIa,Ia,0,43.78740521194987
55,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aaxavsk,,,,,,,,,,,SN2018ccn,,,,,0.08,264.58341666666666,67.84948888888889,SNIa,Ia,0,31.840839491824386
56,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18aaxcxih,,,,,,,,,,,SN2018cco,,,,,0.07,284.7542,63.75520555555556,SNIa,Ia,0,23.32620247929068
54,,,ZTF,ZTF,ZTF,ZTF,ZTF18aawyjjq,272.88,g,18.6744,-17.64,24.357,7.486,16.871,-22.01,1.08,0.099,SN2018ccp,,,,,0.04,263.0587458333334,36.07400833333334,SNII,II,2,30.8086767743033
6331,,,,,,,ZTF18aaqqhis,257.72,r,17.8147,-19.30,28.019,11.408,16.611,-20.64,0.84,0.035,SN2018ccy,,,,,0.06,155.75995833333332,45.7025,SNIa,Ia,0,55.29580981670191
6347,,,,,,,ZTF18aaxnqjb,283.71,r,18.7515,-18.16,49.431,17.086,32.345,-20.46,0.61,0.069,SN2018cdg,,,,,0.054,207.34225,21.07075,SNII,II,2,75.47223550708436
57,,,"ZTF, GaiaAlerts, Pan-STARRS","ZTF, GaiaAlerts, Pan-STARRS",ZTF,GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxdrjn,279.7,g,16.9287,-18.97,20.422,7.947,12.475,-22.12,1.15,0.057,SN2018cdt,,,,,0.0339,185.00683333333336,56.15888055555556,SNIa,Ia,0,60.425280908349094
48,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aavrzxp,269.76,g,18.289,-19.22,18.652,5.665,12.987,-22.65,1.13,0.074,SN2018cdu,,,,,0.07,215.44937916666663,48.16659444444444,SNIa,Ia,0,62.59792840265653
60,,,"ZTF, ATLAS","ZTF, ATLAS","Global SN Project, ZTF",ATLAS; ZTF,ZTF18aaxkfos,,,,,,,,,,,SN2018cdv,,,,,0.075,160.33798333333334,45.67038888888889,SNIa,Ia,0,58.27352028060035
6343,,,,,,,ZTF18aaxcfbt,279.68,r,18.1086,-19.31,32.759,10.777,21.982,-20.84,0.68,0.034,SN2018ced,,,,,0.0689,164.612875,51.69580555555555,SNIa,Ia,0,57.541554736329346
62,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxmixe,,,,,,,,,,,SN2018ceh,,,,,0.08,216.6673875,7.618319444444445,SNIa,Ia,0,60.17144116285708
6344,,,,,,,ZTF18aaxiuyp,281.71,r,18.5307,-17.13,27.228,11.101,16.127,-20.76,0.74,0.095,SN2018cem,,,,,0.0303,241.39475,32.66316666666666,SNIc,Ib/c,1,47.92021453918681
6348,,,,,,,ZTF18aaxsioa,284.76,g,16.8488,-18.78,20.023,6.673,13.35,-18.48,0.89,0.055,SN2018cfa,,,,,0.03,252.41291666666663,45.49227777777778,SNIa,Ia,0,39.89124289269419
43,,,ZTF,ZTF,ZTF,ZTF,ZTF18aauvnhh,,,,,,,,,,,SN2018chd,,,,,0.058,213.3437625,22.578352777777777,SNIa,Ia,0,70.88904069133368
64,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aaxnkos,,,,,,,,,,,SN2018chf,,,,,0.0628,156.52724166666667,47.27428611111111,SNIa,Ia,0,55.22788909670718
69,,,"ZTF, Pan-STARRS, GaiaAlerts, ATLAS","ZTF, Pan-STARRS, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxjuwy,,,,,,,,,,,SN2018cih,,,,,0.0828,188.12225,4.88895,SNIIn,II,2,67.30651890897978
70,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aaygwqd,,,,,,,,,,,SN2018cim,,,,,0.035,239.41379166666667,78.61223055555556,SNIb,Ib/c,1,34.60031205210332
59,,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aawpcel,,,,,,,,,,,SN2018cir,,,,,0.156,195.321025,59.81002222222222,SNIa,Ia,0,57.274437117356314
68,,,"ZTF, Pan-STARRS, GaiaAlerts","ZTF, Pan-STARRS, GaiaAlerts",ZTF,GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxxfgs,,,,,,,,,,,SN2018civ,,,,,0.026,232.8085,16.892699999999998,SNIIn,II,2,51.75205332143021
6350,,,,,,,ZTF18aaykmzg,276.78,r,18.6101,-18.38,>15.625,>0,>15.625,-22.56,1.16,0.064,SN2018ciw,,,,,0.056,224.87825,28.183,SNIa-91bg,Ia,0,61.70176554277595
34,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aasufva,,,,,,,,,,,SN2018cjl,,,,,0.083,167.67930416666664,40.78973888888888,SLSN-II,II,2,65.1863929133628
6337,,,,,,,ZTF18aatlfus,252.92,g,18.3244,-18.39,23.432,4.13,19.302,-21.47,0.82,0.213,SN2018clq,,,,,0.0451,257.176375,28.52058333333333,SNIIP,II,2,33.82287412263488
6346,,,,,,,ZTF18aaxmhvk,290.83,r,18.561,-19.17,23.751,16.395,7.356,-15.58,1.07,0.016,SN2018cne,,,,,0.08,244.67795833333332,40.07258333333333,SNIa,Ia,0,45.60505510608919
6345,,,,,,,ZTF18aaxkjmm,278.77,r,18.2341,-19.12,25.199,9.953,15.246,-17.83,0.96,0.069,SN2018cng,,,,,0.0661,236.37133333333333,35.85519444444444,SNIa,Ia,0,52.20633220902729
6353,,,,,,,ZTF18abauprj,299.69,g,15.5681,-19.93,26.61,8.113,18.497,-22.61,1.21,0.074,SN2018cnw,,,,,0.028,254.77095833333337,47.23641666666667,SNIa-91T,Ia,0,38.26370606612559
67,,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aaxxewy,,,,,,,,,,,SN2018cnx,,,,,0.082,216.1892083333333,5.839819444444444,SNIa,Ia,0,59.24677703291059
74,,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aayjvve,294.77,r,17.5905,-19.00,28.566,12.029,16.537,-21.65,1.26,0.04,SN2018cny,,,,,0.04727,226.06916666666663,35.81503055555555,SNIa,Ia,0,60.5348036350885
65,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxqyki,284.75,g,18.7798,-19.49,25.508,8.25,17.258,-16.13,1.07,0.049,SN2018cnz,,,,,0.1,232.57617916666663,57.6585,SNIa,Ia,0,48.71881292599946
84,,,ZTF,ZTF,ZTF,ZTF,ZTF18aayxupv,,,,,,,,,,,SN2018cob,,,,,0.047,183.387375,25.45156111111111,SNIa,Ia,0,81.34609281055005
78,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaylbjm,,,,,,,,,,,SN2018coc,,,,,0.09,249.63332083333333,5.126472222222222,SNIa,Ia,0,31.766457199150146
75,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aayjyub,294.71,g,17.1163,-18.53,27.548,11.871,15.677,-13.49,0.17,0.068,SN2018cod,,,,,0.03,200.1165,62.30083888888888,SNIa,Ia,0,54.49913090506443
82,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aaxwjmp,290.7,g,18.6893,-19.15,23.712,11.884,11.828,-18.11,0.41,0.097,SN2018coe,,,,,0.08,252.905625,61.54536944444444,SNIa,Ia,0,37.77960582788193
76,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxvpsw,288.73,g,18.6502,-19.41,23.915,11.003,12.912,-21.60,1.09,0.034,SN2018cof,,,,,0.0916,224.9766416666667,39.07882777777778,SNIa,Ia,0,60.761758257588816
66,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxtcdm,,,,,,,,,,,SN2018cog,,,,,0.075,231.54975,6.357180555555555,SNIa,Ia,0,47.806946501554215
81,,,ZTF,ZTF,ZTF,ZTF,ZTF18aaydmkh,284.82,r,18.7378,-19.17,27.072,5.995,21.077,-20.94,1.21,0.082,SN2018coh,,,,,0.0845,260.1610916666666,52.04193611111111,SNIa,Ia,0,34.80346182172172
89,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18aazixbw,293.7,g,18.2918,-18.81,22.027,10.036,11.991,-22.48,0.88,0.029,SN2018coi,,,,,0.0594,244.74158333333327,56.7169,SNIa,Ia,0,43.05275531780894
73,,,ZTF,ZTF,ZTF,ZTF,ZTF18aayivoq,,,,,,,,,,,SN2018coj,,,,,0.0792,180.4785708333333,36.89519722222222,SNIa,Ia,0,75.68550462181084
6354,,,,,,,ZTF18abbpxik,298.77,r,18.4529,-17.36,71.326,12.6,58.726,-21.28,0.85,0.1,SN2018cqp,,,,,0.03236,230.70966666666664,8.080305555555555,SNII,II,2,49.452480054082464
88,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aazblzy,290.71,g,18.2576,-19.01,18.735,6.689,12.046,-17.16,2.49,0.037,SN2018cri,,,,,0.064,242.8395,36.99428888888889,SNIa,Ia,0,47.01093223526334
83,,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aazcoob,,,,,,,,,,,SN2018crj,,,,,0.088,269.5111666666666,69.0727611111111,SNIa,Ia,0,29.95340597520976
6351,,,,,,,ZTF18aaytovs,295.8,r,18.1696,-19.57,27.635,12.948,14.687,-21.36,1.11,0.167,SN2018crk,,,,,0.076,266.4724583333333,31.710527777777777,SNIa-91T,Ia,0,26.954404001155147
6349,,,,,,,ZTF18aaykjei,299.85,r,18.5202,-19.66,39.957,18.12,21.837,-19.53,0.70,0.044,SN2018crl,,,,,0.097,244.91233333333332,49.18516666666666,SNIa-pec,Ia,0,44.65323715762218
91,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18aazsabq,293.83,r,18.2337,-18.58,20.04,8.082,11.958,-19.38,1.23,0.161,SN2018crn,,,,,0.05,283.8410083333333,56.58841944444445,SNIa,Ia,0,21.853299346048715
92,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abadjhx,,,,,,,,,,,SN2018cro,,,,,0.076,315.20526666666666,9.524494444444445,SNIa,Ia,0,-23.213156671298474
80,,,"ZTF, GaiaAlerts, Pan-STARRS","ZTF, GaiaAlerts, Pan-STARRS",ZTF,GaiaAlerts; Pan-STARRS; ZTF,ZTF18aazabmh,293.76,r,18.7863,-18.76,24.711,13.246,11.465,-14.52,0.18,0.041,SN2018crr,,,,,0.073,254.9051666666667,59.07328055555556,SNIa,Ia,0,37.26982834401258
90,,,ZTF,ZTF,ZTF,ZTF,ZTF18aazjztm,290.74,g,18.6315,-18.99,23.341,7.376,15.965,-21.14,0.88,0.113,SN2018crs,,,,,0.072,260.1016541666666,55.214644444444446,SNIa,Ia,0,34.81373333488936
21,,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aamftst,,,,,,,,,,,SN2018ctj,,,,,0.0378,217.81236666666663,17.19299722222222,SNIIn,II,2,64.90957579645814
95,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18abaxlpi,296.95,g,18.3094,-19.11,22.32,7.607,14.713,-21.23,0.67,0.14,SN2018ctm,,,,,0.0646,276.55905416666667,45.01020833333333,SNIa,Ia,0,23.0501469758678
98,,,"ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18abbvsiv,297.74,g,17.663,-19.17,27.821,8.797,19.024,-22.07,1.17,0.087,SN2018cto,,,,,0.051,261.13348333333334,70.37244999999999,SNIa,Ia,0,32.6939543118662
72,,,ZTF,ZTF,ZTF,ZTF,ZTF18aayivxm,,,,,,,,,,,SN2018ctq,,,,,0.1,183.4496333333333,40.71565277777778,SNIa,Ia,0,74.35173742059175
93,,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18abaelhi,,,,,,,,,,,SN2018ctr,,,,,0.02253,207.19925,6.355230555555555,SNII,II,2,65.15322520702306
71,,,ZTF,ZTF,ZTF,ZTF,ZTF18aayiahw,291.74,r,18.8326,-18.41,>26.155,11.225,>14.93,-22.13,1.11,0.037,SN2018cts,,,,,0.06368,209.80834583333333,28.54076666666667,SNIa,Ia,0,74.9583400693297
94,,,ZTF,ZTF,ZTF,ZTF,ZTF18abakjgq,,,,,,,,,,,SN2018ctt,,,,,0.054,328.0790833333333,44.24405,SNIa,Ia,0,-7.72413995984396
101,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abcdzyc,300.81,g,18.084,-18.89,26.287,9.375,16.912,-21.00,1.05,0.034,SN2018cty,,,,,0.056,195.44040833333327,61.46548055555556,SNIa,Ia,0,55.618990926329076
103,,,ZTF,ZTF,ZTF,ZTF,ZTF18aazhwnh,291.76,r,18.9016,-19.21,>18.157,6.237,>11.92,-21.09,1.09,0.139,SN2018cua,,,,,0.0907,233.01482916666663,23.51703611111111,SNIa,Ia,0,53.67466599070718
6359,,,,,,,ZTF18abcptmt,302.83,r,18.6301,-18.14,28.693,9.89,18.803,-18.93,0.50,0.109,SN2018cug,,,,,0.05,267.329875,49.41238888888888,SNII,II,2,30.086591978289817
6360,,,,,,,ZTF18abcyhju,294.73,r,17.501,-16.64,>13.671,1.731,>11.94,-20.03,0.69,0.063,SN2018cup,,,,,0.01524,188.84566666666663,29.492166666666662,SNII,II,2,85.74901414183475
6358,,,,,,,ZTF18abcpmwh,300.7,g,16.691,-17.47,39.972,9.128,30.844,-22.45,0.96,0.041,SN2018cur,,,,,0.01543,194.788,37.31669444444445,SNIIP,II,2,79.68250662211395
6356,,,,,,,ZTF18abcflnz,308.89,g,16.2495,-19.12,23.495,11.504,11.991,-19.40,0.71,0.244,SN2018cuw,,,,,0.024,281.5597916666666,35.968694444444445,SNIa,Ia,0,16.508448887858908
86,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aayidfz,288.7,g,18.4743,-18.89,21.454,8.415,13.039,-15.17,1.05,0.029,SN2018cvd,,,,,0.067,198.66775,24.00574444444445,SNIa,Ia,0,83.9018920983949
110,,,"ZTF, Pan-STARRS, ATLAS, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18abckujq,303.7,g,17.8503,-19.43,28.198,9.49,18.708,-21.98,0.95,0.053,SN2018cvf,,,,,0.06383,181.66916666666663,59.51338888888889,SNIa,Ia,0,56.707844531660015
111,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18abcpolh,,,,,,,,,,,SN2018cvh,,,,,0.03512,226.99416666666667,1.232388888888889,SNIa,Ia,0,48.27073496086382
112,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abceakp,303.71,g,18.0295,-17.58,17.405,8.262,9.143,-14.81,0.17,0.039,SN2018cvi,,,,,0.03,212.0520875,65.63775555555556,SNII,II,2,49.64965448247226
97,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abbpeqo,302.81,r,17.9918,-19.37,22.46,10.589,11.871,-22.12,0.88,0.054,SN2018cvq,,,,,0.06678,238.2268083333333,50.61947222222222,SNIa,Ia,0,48.518139931464205
96,,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18abbqjds,298.81,r,18.635,-19.67,27.227,9.222,18.005,-22.38,0.75,0.106,SN2018cvr,,,,,0.1,221.3524541666667,78.28474166666666,SNIa,Ia,0,37.250938844808246
104,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abcicrq,,,,,,,,,,,SN2018cvs,,,,,0.105,205.2832,28.88651944444445,SNIa,Ia,0,78.89670892949626
