,hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code,b
1889,,,ZTF,ZTF,ZTF,ZTF,ZTF20aamenwg,,,,,,,,,,,SN2020clp,,,,,0.084,65.26195416666667,-4.913755555555556,SNIa,Ia,0,-35.454314238338306
1920,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aamuqwn,,,,,,,,,,,SN2020clq,,,,,0.015007,68.35654166666667,-4.265830555555556,SNIa,Ia,0,-32.456129406703006
6772,,,,,,,ZTF20aamqmhj,903.89,r,18.554,-18.05,19.858,10.573,9.285,-21.51,1.18,0.03,SN2020clr,,,,,0.04759,165.22525,57.77597222222222,SNIc,Ib/c,1,53.72456759674802
6732,,,,,,,ZTF19adalarj,863.62,g,18.3822,-19.96,>26.477,16.477,>10,-14.98,-0.14,0.587,SN2020cn,,,,,0.077,322.04470833333335,79.11008333333332,SNIIn,II,2,19.97056457518488
1877,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aambtea,,,,,,,,,,,SN2020cnu,,,,,0.019,66.03401666666667,-27.07985,SNII,II,2,-43.042394527236624
1777,,,ZTF,ZTF,ZTF,ZTF,ZTF20aahapgw,,,,,,,,,,,SN2020cnv,,,,,0.111,62.61997916666667,34.11277777777778,SNIIn,II,2,-12.724803451831448
1901,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aamqxyi,,,,,,,,,,,SN2020cop,,,,,0.046642,90.42169166666666,-25.00870833333333,SNIa,Ia,0,-21.49889411949658
1906,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF20aandwrl,900.83,g,18.9344,-19.31,>24.363,10.353,>14.01,-21.97,0.99,0.061,SN2020cot,,,,,0.09815,158.898525,22.64063611111111,SNIa,Ia,0,58.96116778965955
1884,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aamksoq,894.87,g,18.8503,-18.89,20.148,7.158,12.99,-22.15,1.13,0.048,SN2020cox,,,,,0.07882,184.29144166666663,3.6334333333333335,SNIa,Ia,0,65.11899019061323
1925,,,ZTF,ZTF,ZTF,ZTF,ZTF20aansmlm,899.94,r,18.6397,-18.84,>28.71,12.77,>15.94,-21.60,1.21,0.065,SN2020coy,,,,,0.07,188.02546666666663,-8.130525,SNIa,Ia,0,54.43136169738883
1907,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF20aamttiw,,,,,,,,,,,SN2020cpa,,,,,0.0449,261.657175,38.20819166666667,SNII,II,2,32.34083240148937
1908,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF20aamttmo,905.05,g,17.8273,-19.10,23.272,11.111,12.161,-16.08,0.20,0.203,SN2020cpb,,,,,0.05,257.079625,18.29958888888889,SNIa,Ia,0,30.708210880934917
