hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,b,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code
,,"ZTF, ATLAS","ZTF, ATLAS","ePESSTO, ZTF",ATLAS; ZTF,ZTF18adazblo,534.86,r,18.7264,-16.68,109.072,54.655,54.417,-20.46,0.61,39.18037784,0.109,SN2018ldu,,,,,0.02672,137.38538333333332,20.406980555555553,SNII,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF19aaadwfi,538.78,g,18.2381,-21.79,71.728,34.302,37.426,-17.34,0.10,56.70321111,0.036,SN2018lnb,,,,,0.222,159.6364583333333,48.27529166666667,SLSN-II,II,2
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aczuooo,509.0,r,18.8304,-19.27,65.304,33.01,32.294,-20.02,0.31,87.71073045,0.029,SN2018kyv,,,,,0.094,195.27070833333335,26.351069444444445,SNIIn,II,2
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18adbadqp,488.01,g,18.4214,-19.38,32.825,13.086,19.739,-16.82,0.43,69.52711829,0.07,SN2018lbi,,,,,0.08,213.17445833333332,18.72601111111111,SNIa,Ia,0
,,"ZTF, Pan-STARRS, ATLAS, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18adbckox,493.69,g,17.4643,-19.50,28.299,13.127,15.172,-,-,-43.37643792,0.233,SN2018lem,,,,,0.05,53.59245833333333,-1.5900305555555556,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO,ATLAS; Pan-STARRS; ZTF,ZTF18adbhrjs,,,,,,,,,,,,SN2018ldw,,,,,0.078,166.44682083333333,2.432086111111111,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aczpgmi,,,,,,,,,,,,SN2018ldj,,,,,0.0671,19.386149999999997,-14.9313,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18adbntwo,495.7,g,17.598,-19.36,22.08,8.492,13.588,-21.90,1.11,-41.74649832,0.311,SN2018les,,,,,0.04774,53.57557499999999,1.082075,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO,ATLAS; ZTF,ZTF18adbyxua,493.04,g,18.6923,-19.75,25.788,8.823,16.965,-17.21,0.33,68.0257465,0.068,SN2018lhw,,,,,0.107,177.74205833333332,10.393152777777777,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",SCAT,ATLAS; GaiaAlerts; ZTF,ZTF18adcbyiw,,,,,,,,,,,,SN2019gj,,,,,0.08,24.92533333333333,31.15581111111111,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",,ATLAS; Pan-STARRS; ZTF,ZTF19aaactno,,,,,,,,,,,,SN2019go,,,,,0.1,126.28859583333332,19.170722222222224,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO,ATLAS; ZTF,ZTF18adcakbo,,,,,,,,,,,,SN2019bt,,,,,0.102,151.71351249999998,3.6226,SNIa,Ia,0
,,ZTF,ZTF,SCAT,ZTF,ZTF19aaafgbt,,,,,,,,,,,,SN2019qj,,,,,0.121,197.00697083333333,42.013625,SNIa,Ia,0
,,ZTF,ZTF,SCAT,ZTF,ZTF19aaaajtq,,,,,,,,,,,,SN2019ir,,,,,0.07,349.05850833333335,37.495891666666665,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",SCAT,ATLAS; Pan-STARRS; ZTF,ZTF19aacijie,502.94,g,18.0736,-19.09,18.518,8.071,10.447,-14.95,1.04,45.47593393,0.034,SN2019qb,,,,,0.061,143.86573750000002,53.77013611111111,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO,ATLAS; ZTF,ZTF19aabyheu,510.78,r,16.1883,-18.66,23.911,14.24,9.671,-20.06,1.06,57.94886311,0.072,SN2019kf,,,,,0.021,156.82262916666667,26.53308611111111,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aadnsqj,,,,,,,,,,,,SN2019ail,,,,,0.0325,157.11366666666666,12.706058333333333,SNIIb,Ib/c,1
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF19aabyppp,511.88,r,16.6968,-19.38,22.859,11.548,11.311,-16.89,0.37,73.47491523,0.062,SN2019kg,,,,,0.037,175.690625,21.71485,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",SCAT,ATLAS; ZTF,ZTF18aacdbzx,,,,,,,,,,,,SN2019qg,,,,,0.08,205.25745833333335,38.98603888888889,SNIc-BL,Ib/c,1
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",SCAT,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aadgimr,527.01,r,16.3072,-19.63,57.754,27.719,30.035,-16.77,0.39,59.3926789,0.046,SN2019qt,,,,,0.035,224.794375,43.81991111111112,SNIIn,II,2
,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO,ATLAS; ZTF,ZTF19aacwljg,,,,,,,,,,,,SN2019qc,,,,,0.051,142.66962916666668,19.66896388888889,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aadnxgj,,,,,,,,,,,,SN2019vv,,,,,0.0342,233.51512083333333,2.21105,SNIa,Ia,0
,,ZTF,ZTF,SCAT,ZTF,ZTF19aacqeai,,,,,,,,,,,,SN2019ri,,,,,0.036,60.6821875,19.503405555555556,SNIa,Ia,0
,,ZTF,ZTF,SCAT,ZTF,ZTF19aacsofi,,,,,,,,,,,,SN2019oc,,,,,0.067,120.01929583333335,40.07780555555556,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ePESSTO,Pan-STARRS; ZTF,ZTF19aacxrzt,507.78,r,18.4385,-19.15,>27.838,11.898,>15.94,-22.31,1.00,42.55802852,0.089,SN2019qe,,,,,0.073,143.59044583333332,14.488305555555554,SNIa,Ia,0
,,ZTF,ZTF,ePESSTO,ZTF,ZTF19aacilht,502.96,g,18.4561,-19.21,22.002,5.381,16.621,-21.64,1.11,66.78946581,0.053,SN2019qo,,,,,0.076,184.72872500000003,5.249161111111111,SNIa,Ia,0
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ePESSTO,GaiaAlerts; ZTF,ZTF19aaddzpk,,,,,,,,,,,,SN2019qr,,,,,0.053,174.70475,-3.8161305555555556,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",SCAT,ATLAS; Pan-STARRS; ZTF,ZTF19aacigpk,,,,,,,,,,,,SN2019qa,,,,,0.046,158.75202083333335,46.93293333333333,SNII,II,2
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","NUTS, ZTF",ATLAS; Pan-STARRS; ZTF,ZTF19aadnxat,511.95,g,16.4897,-19.27,35.124,8.205,26.919,-19.56,0.46,55.47203018,0.043,SN2019vu,,,,,0.03208,210.58292083333333,59.420091666666664,SNIa,Ia,0
,,ZTF,ZTF,,ZTF,ZTF19aadnwbv,,,,,,,,,,,,SN2019wd,,,,,0.059,193.55340416666667,0.4769916666666667,SNIIP,II,2
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF19aadnxcw,,,,,,,,,,,,SN2019wl,,,,,0.05426,178.80092499999998,49.44412222222222,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aadnmgf,513.88,g,18.0998,-19.71,35.04,7.795,27.245,-17.72,0.73,46.35418329,0.076,SN2019bly,,,,,0.08,144.86771666666667,22.162077777777775,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF19aadolpe,522.92,g,17.7236,-19.23,28.359,16.796,11.563,-17.33,0.40,65.55696086,0.05,SN2019yb,,,,,0.055,165.1578291666667,30.51260277777778,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS","None, ZTF",ATLAS; ZTF,ZTF19aadoocn,510.03,g,16.9668,-19.39,22.565,7.148,15.417,-21.03,0.80,75.54797465,0.083,SN2019xa,,,,,0.041211,179.1176625,20.010783333333332,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts; ZTF,ZTF19aadpdqm,,,,,,,,,,,,SN2019ww,,,,,0.051,16.648083333333336,1.264361111111111,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aadtqcd,523.05,r,17.9792,-14.85,44.234,27.206,17.028,-,-,39.21378114,0.172,SN2019aai,,,,,0.008,248.0864166666667,19.84011111111111,SNII,II,2
,,"ZTF, ATLAS","ZTF, ATLAS","TCD, ZTF",ATLAS; ZTF,ZTF19aaduufr,,,,,,,,,,,,SN2019bjr,,,,,0.035,130.74846666666667,59.56785277777778,SNIIP,II,2
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF19aadyioa,,,,,,,,,,,,SN2019abl,,,,,0.053468,236.783925,33.21412777777778,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF19aadypig,,,,,,,,,,,,SN2019aah,,,,,0.03,225.37797500000002,4.878288888888889,SNII,II,2
,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO,ATLAS; ZTF,ZTF19aadyijk,513.96,r,18.1955,-19.13,32.64,6.118,26.522,-20.76,0.50,81.58243661,0.079,SN2019aev,,,,,0.065,194.0754625,18.78526666666667,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF19aaeuhgo,,,,,,,,,,,,SN2019bcv,,,,,0.0678,21.979549999999996,15.511408333333334,SNII,II,2
,,ZTF,ZTF,ePESSTO,ZTF,ZTF19aaeicsm,522.73,r,18.0951,-19.14,27.075,14.415,12.66,-22.09,1.24,15.80158987,0.092,SN2019aba,,,,,0.062,115.81411666666666,9.53661111111111,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aaejtof,523.05,r,18.8224,-17.36,42.925,28.476,14.449,-19.19,0.78,42.01078636,0.15,SN2019abp,,,,,0.037628,245.86055833333336,22.48614166666667,SNIIb,Ib/c,1
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aaermez,514.91,r,17.3285,-17.67,24.413,4.469,19.944,-20.83,0.81,54.95945207,0.039,SN2019abh,,,,,0.022846,153.17864583333332,39.373955555555554,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aaeopqn,514.93,r,18.5425,-17.63,13.006,6.737,6.269,-19.80,1.02,81.65348568,0.04,SN2019abk,,,,,0.039,199.74865000000003,32.97465277777778,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19aafnfyc,522.97,g,18.1534,-19.66,27.158,10.727,16.431,-17.80,0.45,65.58850688,0.082,SN2019agr,,,,,0.08,219.392,22.729080555555555,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aaeoqqj,,,,,,,,,,,,SN2019agh,,,,,0.030621,247.7092875,41.402744444444444,SNIIb,Ib/c,1
,,ZTF,ZTF,ZTF,ZTF,ZTF19aaekvhn,523.7,r,18.19,-18.97,22.109,10.63,11.479,-,-,34.34787564,0.046,SN2019bac,,,,,0.061,136.84617916666667,75.78115555555556,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS","None, ZTF",ATLAS; ZTF,ZTF19aafmvdb,,,,,,,,,,,,SN2019ahs,,,,,0.022919,180.4288625,20.403802777777777,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aafljiq,606.74,r,17.7108,-20.67,122.063,64.224,57.839,-19.12,0.42,69.25078927,0.049,SN2019afz,,,,,0.106,171.85673333333332,19.397880555555556,SLSN-II,II,2
,,"ZTF, ATLAS","ZTF, ATLAS",SCAT,ATLAS; ZTF,ZTF19aafmwfc,,,,,,,,,,,,SN2019agl,,,,,0.081,193.3507875,0.4607027777777778,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aafncsv,,,,,,,,,,,,SN2019agm,,,,,0.037,249.19000000000005,18.68748888888889,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aafnecv,,,,,,,,,,,,SN2019ago,,,,,0.038622,255.268125,25.8699,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19aafnend,,,,,,,,,,,,SN2019bhg,,,,,0.12,254.85916666666665,46.79915,SNIIP,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF19aalbrph,,,,,,,,,,,,SN2019kwq,,,,,0.5,256.9951666666667,58.70108333333334,SLSN-I,SLSN,3
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19aahsnmq,538.79,g,17.8682,-19.51,29.714,12.369,17.345,-14.21,0.05,23.59295336,0.248,SN2019aux,,,,,0.06,111.10275,42.06661944444444,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aajxhwa,538.65,r,17.3314,-18.97,22.232,6.869,15.363,-16.00,0.32,-17.50193656,0.639,SN2019aup,,,,,0.033,78.32954583333333,8.193444444444445,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aahuian,,,,,,,,,,,,SN2019ard,,,,,0.06912,130.90159583333335,47.25355833333333,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","Padova-Asiago, ZTF",ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aahulyd,,,,,,,,,,,,SN2019ava,,,,,0.04092,113.24533333333332,58.2789,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aaileug,,,,,,,,,,,,SN2019avh,,,,,0.0627,150.49529166666667,43.359575,SNIa,Ia,0
,,ZTF,ZTF,Padova-Asiago,ZTF,ZTF19aailexm,526.93,g,17.896,-19.33,>19.761,4.931,>14.83,-22.72,1.04,52.82750479,0.032,SN2019avi,,,,,0.063,150.3834625,39.25958333333333,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aaillan,526.95,g,17.8706,-19.62,27.718,5.615,22.103,-14.44,0.16,76.04139486,0.06,SN2019arf,,,,,0.07,201.530125,15.725402777777777,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aailmfm,,,,,,,,,,,,SN2019aqz,,,,,0.081,189.54769583333334,10.332838888888888,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","TNTS, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF19aahjhoy,,,,,,,,,,,,SN2019arb,,,,,0.013696,184.88008333333332,49.81413055555555,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO,ATLAS; ZTF,ZTF19aailptb,,,,,,,,,,,,SN2019bzq,,,,,0.285,210.4099416666667,14.415269444444444,SNIIn,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF19aailqir,534.92,r,18.5321,-18.40,30.692,19.061,11.631,-21.75,1.05,71.69327787,0.077,SN2019ari,,,,,0.05434,193.84795,45.41814722222222,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19aailqli,538.99,r,17.7881,-19.26,33.569,13.095,20.474,-18.47,0.36,63.75136129,0.043,SN2019avp,,,,,0.058,200.331,52.77856944444444,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aailsyx,,,,,,,,,,,,SN2019avv,,,,,0.2207,236.17299166666663,51.14950555555556,SLSN-II,II,2
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",,ATLAS; Pan-STARRS; ZTF,ZTF19aailuvj,539.02,g,18.1587,-19.38,27.381,12,15.381,-16.20,0.52,55.6405749,0.066,SN2019awc,,,,,0.071,231.87577916666666,28.699408333333334,SNIa,Ia,0
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF19aailvhf,,,,,,,,,,,,SN2019arl,,,,,0.029,221.75866666666667,11.65451111111111,SNII,II,2
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aakiyly,541.92,g,18.0235,-19.51,24.526,9.507,15.019,-19.81,0.68,67.15092051,0.087,SN2019avy,,,,,0.07,217.83687500000002,23.422319444444447,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aahsclk,,,,,,,,,,,,SN2019bge,,,,,0.063,37.459425,32.05338611111111,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aaknemm,,,,,,,,,,,,SN2019blt,,,,,0.07,121.62641666666666,-2.7436555555555557,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aajwdqt,539.81,r,18.2976,-19.75,29.9,9.105,20.795,-18.29,0.50,52.95951082,0.143,SN2019bhe,,,,,0.088,180.94194583333334,-8.065866666666667,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS","Padova-Asiago, ZTF",ATLAS; ZTF,ZTF19aajxwnz,547.67,r,15.2395,-19.21,27.28,12.756,14.524,-18.76,0.47,20.10824991,0.478,SN2019bek,,,,,0.015,94.3769,62.49109166666667,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aakisqk,,,,,,,,,,,,SN2019blu,,,,,0.077,167.54895,5.242130555555556,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aajwhbc,538.85,r,18.744,-19.50,32.184,12.576,19.608,-16.12,1.08,61.68586903,0.043,SN2019bgf,,,,,0.1,180.80800833333336,54.017319444444446,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aailltc,538.86,r,18.5154,-19.44,38.727,9.833,28.894,-17.25,0.39,78.42314595,0.036,SN2019avn,,,,,0.088,184.04860833333333,35.95490277777778,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19aakiwxx,538.92,g,17.329,-19.18,20.379,9.295,11.084,-20.31,0.67,54.34357123,0.051,SN2019avx,,,,,0.045,199.06766666666667,62.54763055555556,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF19aakiyed,534.93,r,18.8593,-17.57,64.108,14.729,49.379,-19.76,0.76,49.04618476,0.036,SN2019awk,,,,,0.044,226.76074583333335,61.22845,SNII,II,2
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF19aaksxgp,560.75,g,18.7472,-17.94,66.446,33.408,33.038,-21.00,0.83,57.09784783,0.131,SN2019cac,,,,,0.0467,207.68292083333336,-2.506947222222222,SNIIn,II,2
,,ZTF,ZTF,,ZTF,ZTF19aakiznm,,,,,,,,,,,,SN2019awd,,,,,0.093,212.93464583333332,0.9813916666666667,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aakjbej,538.82,g,18.6669,-19.37,18.006,5.958,12.048,-19.55,0.44,74.12405659,0.058,SN2019bgk,,,,,0.0896,177.73362500000002,36.504275,SNIa,Ia,0
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF19aakjfaz,,,,,,,,,,,,SN2019bgg,,,,,0.04,267.343875,44.518280555555556,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aakkrqu,,,,,,,,,,,,SN2019azc,,,,,0.03574,49.63805833333333,0.9245416666666666,SNII,II,2
,,ZTF,ZTF,Padova-Asiago,ZTF,ZTF19aakkuqb,,,,,,,,,,,,SN2019baw,,,,,0.035938,26.3140375,32.061616666666666,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aaklbok,538.79,g,18.3849,-19.51,24.499,6.597,17.902,-23.34,0.95,23.30232857,0.144,SN2019baj,,,,,0.08,111.50089583333333,40.009772222222225,SNIa,Ia,0
,,ZTF,ZTF,Padova-Asiago,ZTF,ZTF19aakljys,538.85,r,17.8087,-18.63,18.159,6.7,11.459,-20.51,0.58,75.6304128,0.05,SN2019aze,,,,,0.043963,181.44783750000002,37.82860555555556,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","DAO_OTS, Padova-Asiago, ZTF",ATLAS; Pan-STARRS; ZTF,ZTF19aaklquv,538.78,g,17.5027,-19.22,19.499,6.235,13.264,-19.79,0.33,55.3354838,0.08,SN2019bak,,,,,0.0486,153.38287499999998,29.551705555555557,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",,ATLAS; ZTF,ZTF19aakluwr,,,,,,,,,,,,SN2019bam,,,,,0.059,42.24375833333333,26.5038,SNIa,Ia,0
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF19aakkwpi,,,,,,,,,,,,SN2019bah,,,,,0.035,64.07075,-1.6457194444444445,SNII,II,2
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","Padova-Asiago, ZTF",ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aaknate,559.71,r,17.0787,-16.53,30.996,17.961,13.035,-19.63,0.95,50.24311857,0.079,SN2019bao,,,,,0.01188,157.32716666666667,6.122730555555555,SNIIb,Ib/c,1
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aaknign,547.69,r,18.7783,-19.43,32.117,19.655,12.462,-21.40,0.80,29.59783146,0.116,SN2019bdg,,,,,0.09575,120.01767916666667,39.897866666666665,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aakyxsq,,,,,,,,,,,,SN2019bdk,,,,,0.0839,161.00415416666664,16.578658333333333,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF19aaldqvh,541.77,g,18.8088,-19.47,27.156,8.2,18.956,-22.30,0.82,56.04344544,0.037,SN2019bev,,,,,0.101,160.99604166666666,51.112811111111114,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aaknvlv,,,,,,,,,,,,SN2019bik,,,,,0.0777,177.475625,8.565891666666667,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aakocxy,,,,,,,,,,,,SN2019beo,,,,,0.067,114.10563333333333,72.217775,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aakoese,,,,,,,,,,,,SN2019bdh,,,,,0.061,95.310425,48.636775,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS","Padova-Asiago, ZTF",ATLAS; ZTF,ZTF19aakoasy,,,,,,,,,,,,SN2019baq,,,,,0.022,185.50591666666668,20.340744444444443,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF19aakrhzj,,,,,,,,,,,,SN2019bim,,,,,0.09,181.7807416666667,1.3808166666666668,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF19aakthjl,547.86,g,18.3719,-18.81,24.207,9.694,14.513,-22.42,0.78,81.51748604,0.057,SN2019bnu,,,,,0.06075,200.51760833333336,22.269824999999997,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO,ATLAS; Pan-STARRS; ZTF,ZTF19aakozyp,,,,,,,,,,,,SN2019bff,,,,,0.043,213.63234166666666,17.23303888888889,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19aakrnqh,,,,,,,,,,,,SN2019bns,,,,,0.111,201.72222083333335,57.46375833333334,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF19aakpccq,539.0,r,18.5994,-18.16,41.177,6.267,34.91,-21.79,0.93,63.69944046,0.087,SN2019bfg,,,,,0.05,222.57625416666667,27.918897222222224,SNII,II,2
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",Padova-Asiago,ATLAS; GaiaAlerts; ZTF,ZTF19aakpcfy,,,,,,,,,,,,SN2019bas,,,,,0.078316,246.71545833333332,29.3857,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","Padova-Asiago, ZTF",ATLAS; Pan-STARRS; ZTF,ZTF19aakpcfi,,,,,,,,,,,,SN2019bar,,,,,0.06322,246.24776249999996,23.175686111111112,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF19aakpfax,542.05,r,18.8233,-18.96,24.011,8.114,15.897,-21.33,1.23,37.60707134,0.076,SN2019bau,,,,,0.0799,252.8015291666667,62.517716666666665,SNIa,Ia,0
