hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,b,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaqkqxi,248.74,r,18.361,-19.30,36.6,13.908,22.692,-20.96,0.97,65.88014186,0.061,SN2018bvx,,,,,0.0761,167.96905416666667,39.60503055555556,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaqpjja,,,,,,,,,,,,SN2018bhw,,,,,0.06236,122.47348749999999,35.07738611111112,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aarbify,,,,,,,,,,,,SN2018bij,,,,,0.0811,155.0878,29.41263611111111,SNIa,Ia,0
,,ZTF,ZTF,ePESSTO,ZTF,ZTF18aarcypa,257.71,r,18.0875,-17.68,>23.601,11.631,>11.97,-21.23,1.07,67.55060868,0.074,SN2018bil,,,,,0.032,167.459325,28.971380555555555,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aarqxbw,,,,,,,,,,,,SN2018ltg,,,,,0.048,276.42654166666665,34.65848888888889,SNII,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18aarxzmv,,,,,,,,,,,,SN2018cbe,,,,,0.07,190.39966666666666,35.57699166666667,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaqcqkv,,,,,,,,,,,,SN2018lpc,,,,,0.12,196.51026249999998,48.27735277777778,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aarldnh,,,,,,,,,,,,SN2018lpd,,,,,0.10772,195.6554625,55.92573333333333,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aasufva,,,,,,,,,,,,SN2018cjl,,,,,0.083,167.67930416666664,40.789738888888884,SLSN-II,II,2
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aahwhbk,,,,,,,,,,,,SN2018mbr,,,,,0.0449,200.28187916666664,48.69786666666666,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aarmnnd,2098.8,r,18.1086,-18.67,>24.113,>13.98,10.133,-20.99,0.82,65.71947628,0.063,SN2018mev,,,,,0.051,210.21857500000002,47.232569444444444,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aataafd,,,,,,,,,,,,SN2018cbf,,,,,0.077,214.83725833333332,36.17209166666667,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aasesgl,,,,,,,,,,,,SN2018lpw,,,,,0.0858,208.61269166666668,39.722636111111115,SNIa,Ia,0
,,ZTF,ZTF,ePESSTO+,ZTF,ZTF18aatiudp,,,,,,,,,,,,SN2018met,,,,,0.075,227.13352916666665,7.585630555555555,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aatzygk,,,,,,,,,,,,SN2018bsu,,,,,0.08,251.38424166666664,59.918625,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aauenwu,,,,,,,,,,,,SN2018bwa,,,,,0.0475,289.8946583333333,44.03395,SNIIn,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaunfqq,269.77,g,18.3554,-19.14,21.44,9.464,11.976,-20.54,0.77,50.31158625,0.027,SN2018lpb,,,,,0.07109,238.58003333333335,39.453919444444445,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aauvnhh,,,,,,,,,,,,SN2018chd,,,,,0.058,213.3437625,22.578352777777777,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aauworo,,,,,,,,,,,,SN2018bwb,,,,,0.04981,239.671,21.120480555555556,SNIa,Ia,0
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aauxzle,,,,,,,,,,,,SN2018bxl,,,,,0.04,215.64933333333335,74.83953055555556,SNII,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18aavjcpf,,,,,,,,,,,,SN2018ddq,,,,,0.169,170.81207083333334,61.62887777777778,SLSN-II,II,2
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aavnvmp,,,,,,,,,,,,SN2018bxr,,,,,0.064,204.697,30.95958333333333,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aavrzxp,269.76,g,18.289,-19.22,18.652,5.665,12.987,-22.65,1.13,62.59809002,0.074,SN2018cdu,,,,,0.07,215.44937916666666,48.16659444444444,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aavqdyq,343.83,r,18.7519,-16.59,85.856,58.999,26.857,-18.32,0.34,27.75079781,0.114,SN2018elk,,,,,0.026,268.4345916666667,40.75576944444445,SNII,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18aawjywv,272.89,g,17.7016,-18.58,20.477,8.517,11.96,-22.20,1.11,27.99036253,0.073,SN2018ccj,,,,,0.04,268.75020416666666,42.89833888888889,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aawnbgg,,,,,,,,,,,,SN2018hqd,,,,,,160.22521666666665,23.745361111111112,SNIa,Ia,0
,,ZTF,ZTF,ZTF,iPTF; ZTF,ZTF18aawozzj,,,,,,,,,,,,SN2018hqc,,,,,,187.78758333333337,57.58383333333334,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ASAS-SN, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF18aaxcntm,278.85,g,16.8016,-18.55,20.273,7.386,12.887,-22.33,1.19,43.78760888,0.026,SN2018ccl,,,,,0.026792,247.04641666666663,39.820100000000004,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aawyjjq,272.88,g,18.6744,-17.64,24.357,7.486,16.871,-22.01,1.08,30.80882716,0.099,SN2018ccp,,,,,0.04,263.0587458333334,36.07400833333334,SNII,II,2
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aaxavsk,,,,,,,,,,,,SN2018ccn,,,,,0.08,264.58341666666666,67.84948888888889,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18aaxcxih,,,,,,,,,,,,SN2018cco,,,,,0.07,284.7542,63.755205555555555,SNIa,Ia,0
,,"ZTF, GaiaAlerts, Pan-STARRS","ZTF, GaiaAlerts, Pan-STARRS",ZTF,GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxdrjn,279.7,g,16.9287,-18.97,20.422,7.947,12.475,-22.12,1.15,60.42546162,0.057,SN2018cdt,,,,,0.0339,185.00683333333336,56.158880555555555,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaisuxz,,,,,,,,,,,,SN2018mcs,,,,,0.0556,168.53788749999998,29.6251,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aawpcel,,,,,,,,,,,,SN2018cir,,,,,0.156,195.32102500000002,59.81002222222222,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS","Global SN Project, ZTF",ATLAS; ZTF,ZTF18aaxkfos,,,,,,,,,,,,SN2018cdv,,,,,0.075,160.33798333333334,45.67038888888889,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","None, ZTF",ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxkqgy,,,,,,,,,,,,SN2018ccb,,,,,0.02,277.7387916666667,29.879819444444443,SNIIP,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxmixe,,,,,,,,,,,,SN2018ceh,,,,,0.08,216.66738750000002,7.618319444444445,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxrvzj,,,,,,,,,,,,SN2018lpe,,,,,0.11,241.73980833333334,59.015208333333334,SNIa,Ia,0
