
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,b,A_V
ZTF19acxpnvd,AT2019wkv,11:41:26.84,+08:14:28.0,839.00,g,18.6456,-,22.577,9,13.577,-,-,-,-,64.87763088,0.056
ZTF19acxqawb,AT2019xvi,14:06:40.06,-11:19:54.5,888.98,r,18.8378,-,>53.84,>26.91,>26.93,-,-,-,-,47.42974756,0.171
ZTF19acxxraj,AT2019wvx,07:52:06.16,+21:35:26.6,846.90,r,18.955,-,46.877,25.759,21.118,-,-,-,-,22.59981694,0.169
ZTF19acyfion,AT2019xdc,23:59:02.85,+51:07:16.4,837.58,r,18.7498,-,38.032,22.457,15.575,-,-,-,-,-10.9011976,0.632
ZTF19acyfkyi,AT2019wnx,04:24:53.52,+08:11:05.7,830.77,r,18.7687,-,25.841,9.05,16.791,-,-,-,-,-27.43606654,0.777
ZTF19acykibn,AT2019wpn,23:56:07.19,+15:33:42.8,835.63,g,18.4306,-,>25.451,7.441,>18.01,-,-,-,-,-45.24925046,0.157
ZTF19acynipo,AT2019xdi,00:26:43.88,+39:16:27.8,849.58,r,18.9017,-,25.668,13.505,12.163,-,-,-,-,-23.34736532,0.19
ZTF19acytipi,AT2019zhu,12:12:56.63,+08:50:13.8,847.07,r,18.9059,-,>60.358,>42.05,18.308,-,-,-,-,69.56983781,0.05
ZTF19aczjzyh,AT2019xaz,13:06:04.86,+53:41:36.3,847.06,g,18.6019,-,28.52,12.669,15.851,-,-,-,-,63.29753215,0.055
ZTF19aczkjai,AT2019ywu,14:01:45.81,+24:03:55.1,847.07,r,18.8082,-,>35.71,>16,19.71,-,-,-,-,73.86559371,0.055
ZTF19aczlcvh,AT2019wzt,03:09:29.85,+19:44:52.0,846.63,r,18.8916,-,26.06,12.111,13.949,-,-,-,-,-32.42086133,0.451
ZTF19aczmkbo,AT2019ywe,02:32:47.46,+32:13:23.8,849.66,r,18.4981,-,>23.032,12.032,>11,-,-,-,-,-25.93397796,0.29
ZTF19adakeem,AT2019zht,13:31:23.30,+76:03:42.0,847.07,r,18.6566,-,19.378,9.129,10.249,-,-,-,-,40.82028152,0.085
ZTF19adalolo,AT2019xdp,02:26:56.81,-12:25:36.7,850.67,g,18.9406,-,25.294,15.731,9.563,-,-,-,-,-63.23694292,0.051
ZTF19adbmduz,AT2019ywi,00:22:08.26,+12:43:09.4,853.63,r,18.635,-,28.979,14.639,14.34,-,-,-,-,-49.52295217,0.213
ZTF19adbmeva,AT2019yze,00:09:02.01,+15:54:37.4,853.64,r,18.797,-,>29.287,10.317,>18.97,-,-,-,-,-45.74863102,0.195
ZTF19adbmfpi,AT2019yyi,23:26:21.22,+34:48:12.0,853.64,r,18.8704,-,31.833,12.819,19.014,-,-,-,-,-24.88127833,0.297
ZTF19adbnaky,AT2020am,02:21:19.38,+11:16:45.1,860.66,r,18.8925,-,28.749,13.984,14.765,-,-,-,-,-45.83538317,0.301
ZTF19adbnhdb,AT2019xvh,02:29:29.72,+29:04:46.6,846.63,r,18.5708,-,18.913,4.022,14.891,-,-,-,-,-29.08234681,0.276
ZTF19adbnmiq,AT2019ywg,03:10:01.58,+34:28:43.9,860.65,r,18.9806,-,33.427,23.279,10.148,-,-,-,-,-20.20712376,0.371
ZTF19adbrkjv,AT2019yzl,07:02:00.34,+26:50:59.1,861.64,r,18.9137,-,25.822,14.843,10.979,-,-,-,-,14.03693222,0.223
ZTF19adbtrnk,AT2019yxa,08:16:58.25,+50:16:34.5,855.84,r,18.9966,-,28.378,11.887,16.491,-,-,-,-,33.92407088,0.127
ZTF19adcbnty,AT2019yzs,09:04:34.73,+14:35:44.9,849.96,g,17.9933,-,>18.581,5.711,>12.87,-,-,-22.17,0.52,35.9852899,0.134
ZTF19adcchsv,AT2019ywp,10:33:56.84,+17:53:28.6,859.80,r,18.9904,-,37.035,18.047,18.988,-,-,-,-,57.0495906,0.092
ZTF19adcejnq,AT2019zag,08:32:46.56,+50:23:29.8,855.97,g,18.7924,-,27.86,8.992,18.868,-,-,-,-,36.44793738,0.108
ZTF19adcfrwa,AT2019ywy,12:26:34.79,+21:27:14.6,853.05,r,18.9382,-,30.822,14.839,15.983,-,-,-,-,81.98539109,0.056
ZTF19adcfzyu,AT2019zbk,13:06:49.18,+48:57:14.1,853.05,r,18.9832,-,31.756,11.947,19.809,-,-,-,-,67.972563,0.034
ZTF19adcgaer,AT2019zbl,12:28:46.78,+43:16:46.5,852.04,g,18.7879,-,23.006,11.465,11.541,-,-,-,-,73.20940828,0.046
ZTF19adlyjne,AT2023piz,20:22:47.36,-22:29:06.2,2181.75,r,18.7642,-,22.973,10.948,12.025,-,-,-,-,-29.57438514,0.195
ZTF20aaaxrjb,AT2020kn,07:35:51.55,+78:31:11.2,859.86,r,18.8197,-,13.629,8.884,4.745,-,-,-,-,28.74944491,0.078
ZTF20aaaybry,AT2019zsk,08:31:08.90,+57:49:03.0,859.78,r,18.8268,-,24.751,9.962,14.789,-,-,-,-,35.85334011,0.31
ZTF20aabqqpj,AT2020br,13:04:19.30,+67:07:30.9,861.97,g,18.9958,-,23.229,9.457,13.772,-,-,-,-,49.95442908,0.035
ZTF20aacauwc,AT2020is,06:29:29.99,+59:49:15.7,861.64,r,18.9101,-,30.915,8.933,21.982,-,-,-,-,20.57426575,0.196
ZTF20aacchjk,AT2020nj,13:19:03.06,+68:43:59.1,861.97,g,18.9117,-,27.968,9.206,18.762,-,-,-,-,48.19377521,0.043
ZTF20aaczkyw,AT2020ks,05:38:42.38,+81:12:31.5,859.75,r,18.827,-,>15.618,7.608,>8.01,-,-,-,-,24.09080481,0.211
ZTF20aadyghg,AT2020abx,13:48:44.04,+08:20:25.0,863.92,g,18.8506,-,24.838,6.173,18.665,-,-,-,-,66.82997203,0.076
ZTF20aadzbcf,AT2020fvm,14:12:45.96,+34:44:16.1,1000.78,g,18.9002,-,143.254,101.784,41.47,-,-,-,-,71.01907923,0.041
ZTF20aaelxjv,AT2020wf,09:27:05.73,+04:42:51.9,862.92,g,18.9484,-,18.511,8.589,9.922,-,-,-,-,36.48698183,0.133
ZTF20aaepcdr,AT2020sb,03:04:32.79,+04:53:10.1,867.63,r,18.6548,-,33.645,15.197,18.448,-,-,-,-,-44.62872011,0.475
ZTF20aaetlar,AT2020tg,01:33:44.36,+27:52:04.8,874.62,r,18.8998,-,20.123,14.369,5.754,-,-,-,-,-34.07405921,0.231
ZTF20aaetqwv,AT2020sz,05:26:40.76,+63:24:54.9,864.73,r,18.9917,-,19.553,7.554,11.999,-,-,-,-,15.29642127,0.674
ZTF20aaevmfi,AT2020wh,12:48:01.56,+45:57:54.2,872.02,r,18.8025,-,24.204,12.006,12.198,-,-,-,-,71.15118043,0.063
ZTF20aafcetl,AT2020zq,08:23:44.29,+15:39:37.6,867.89,g,18.85,-,30.976,7.199,23.777,-,-,-,-,27.31987905,0.086
ZTF20aafchgb,AT2020aeg,12:37:45.76,+40:52:48.9,871.96,g,18.6279,-,25.341,7.359,17.982,-,-,-,-,75.96240513,0.055
ZTF20aafcljq,AT2020vh,15:10:03.41,+28:24:35.5,864.96,g,18.744,-,19.386,5.687,13.699,-,-,-,-,59.41508004,0.065
ZTF20aafcnby,AT2020agn,13:20:18.25,+58:55:29.3,878.87,r,18.978,-,32.213,16.096,16.117,-,-,-,-,57.81004384,0.037
ZTF20aafjmdg,AT2020xq,09:02:11.85,+14:43:09.7,874.83,r,18.9328,-,36.564,16.63,19.934,-,-,-,-,35.50402343,0.177
ZTF20aafkqmu,AT2020ajo,12:29:49.48,+44:32:59.7,871.95,g,18.968,-,31.691,11.581,20.11,-,-,-,-,72.04697016,0.042
ZTF20aafmgyr,AT2020ahu,02:32:50.24,+45:13:44.2,877.63,r,18.6786,-,24.281,9.991,14.29,-,-,-,-,-14.04745573,0.274
ZTF20aafxahn,AT2020aec,09:01:17.37,+53:36:37.2,875.83,g,18.9051,-,27.648,10.878,16.77,-,-,-,-,40.57764832,0.036
ZTF20aagkldb,AT2020amw,09:04:12.07,+36:49:12.5,883.76,r,18.7102,-,18.447,10.728,7.719,-,-,-,-,41.55149286,0.067
ZTF20aaglqmj,AT2020afa,09:20:15.25,-04:23:38.1,879.85,r,18.7811,-,38.562,9.095,29.467,-,-,-,-,30.10717216,0.086
ZTF20aaglvuu,AT2020ale,08:59:06.13,+58:07:29.4,879.80,r,18.938,-,23.137,11.411,11.726,-,-,-,-,39.47104516,0.107
ZTF20aagnbfh,AT2020afg,17:39:23.54,+64:55:17.9,878.02,r,18.8583,-,32.425,19.716,12.709,-,-,-,-,31.98125462,0.127
ZTF20aagprzh,AT2020agh,04:05:05.18,+14:31:46.4,885.65,r,18.9198,-,>47.16,19.13,>28.03,-,-,-,-,-27.22305838,0.914
ZTF20aagzfsz,AT2020axj,02:07:34.71,+22:56:24.5,882.61,g,18.6589,-,22.719,9.081,13.638,-,-,-,-,-36.65920722,0.283
ZTF20aahbrfu,AT2020anw,06:43:41.91,+25:48:37.8,877.76,r,18.9792,-,22.94,7.894,15.046,-,-,-,-,9.87410276,0.295
ZTF20aahkkql,AT2020bbj,09:10:43.65,+03:16:07.1,884.71,r,18.9277,-,23.844,14.46,9.384,-,-,-,-,32.23456144,0.142
ZTF20aahkolj,AT2020atr,04:59:32.75,-08:49:42.4,879.66,g,18.6938,-,26.758,10.728,16.03,-,-,-,-,-28.84827852,0.254
ZTF20aahqcqn,AT2020asi,15:28:55.09,+22:41:17.1,879.06,r,18.8639,-,25.76,11.453,14.307,-,-,-,-,54.16033518,0.145
ZTF20aaiacec,AT2020awu,11:25:23.50,+09:59:02.0,880.94,g,18.9965,-,29.997,7.502,22.495,-,-,-19.88,0.41,63.44557828,0.102
ZTF20aaifyeu,AT2020avz,16:47:53.06,+25:32:04.5,885.97,g,18.9632,-,28.612,10.558,18.054,-,-,-,-,37.50421878,0.143
ZTF20aajcbhr,AT2020bjy,14:00:24.89,+64:13:10.9,885.95,g,18.7203,-,22.248,7.506,14.742,-,-,-,-,51.28587092,0.046
ZTF20aajvnji,AT2020bos,14:11:39.61,-03:42:14.6,883.98,g,18.165,-,16.343,4.319,12.024,-,-,-,-,53.59239881,0.157
ZTF20aajvwfh,AT2020bew,16:57:40.65,+58:56:09.6,885.97,g,18.2971,-,21.011,7.938,13.073,-,-,-,-,37.53875398,0.047
ZTF20aakwcfh,AT2020bob,08:57:16.50,+30:41:36.6,890.76,g,18.8124,-,20.453,7.227,13.226,-,-,-,-,39.21006107,0.077
ZTF20aakzaul,AT2020cny,14:45:04.06,-17:24:01.2,893.06,g,18.8326,-,>58.88,>38,>20.88,-,-,-,-,37.63569077,0.322
ZTF20aalbgef,AT2020boj,02:45:20.22,+42:33:24.8,891.60,r,18.6808,-,23.362,10.743,12.619,-,-,-,-,-15.53756361,0.264
ZTF20aaldpjs,AT2020chj,07:44:03.69,+17:22:54.3,891.75,g,18.9678,-,21.574,6.296,15.278,-,-,-,-,19.24039322,0.097
ZTF20aalxtwm,AT2020bvy,11:27:39.60,+80:36:49.4,893.82,r,18.6928,-,20.27,10.576,9.694,-,-,-,-,35.83394781,0.127
ZTF20aamdywf,AT2020chr,17:27:58.92,+49:10:44.6,891.97,g,18.7813,-,23.259,7.469,15.79,-,-,-,-,33.52310405,0.104
ZTF20aamdzkk,AT2020byt,16:45:10.68,+19:41:46.5,889.01,r,18.8283,-,25.598,9.906,15.692,-,-,-,-,36.32062398,0.21
ZTF20aamjncn,AT2020ceh,05:23:39.75,-16:38:30.5,891.63,r,18.7999,-,>31.032,8.992,>22.04,-,-,-,-,-26.69518241,0.177
ZTF20aamqkgv,AT2020crg,09:33:25.91,-03:06:15.7,898.81,r,18.8762,-,>26.28,12.34,>13.94,-,-,-,-,33.53459069,0.12
ZTF20aanafyp,AT2020cru,18:23:06.49,+32:42:10.1,905.03,r,18.8963,-,>26.027,16.037,>9.99,-,-,-,-,19.79770218,0.255
ZTF20aanahbq,AT2020dck,17:06:34.08,+03:09:14.9,901.00,r,18.7544,-,>24.673,10.633,>14.04,-,-,-,-,24.68782082,0.349
ZTF20aankgex,AT2020cmu,15:55:30.57,+29:03:23.8,904.03,g,18.7284,-,22.296,13.084,9.212,-,-,-,-,49.61537531,0.119
ZTF20aankgwv,AT2020cmv,18:11:47.66,+61:09:16.8,899.06,g,18.9772,-,>22.882,5.912,>16.97,-,-,-,-,28.24954913,0.114
ZTF20aankhpt,AT2020cmw,16:29:45.40,+50:05:59.0,899.05,g,18.5934,-,20.875,7.904,12.971,-,-,-,-,42.89711574,0.063
ZTF20aanmwtv,AT2020cvr,08:04:15.47,+25:02:21.5,903.77,g,18.9344,-,35.164,7.494,27.67,-,-,-,-,26.41747276,0.098
ZTF20aanqepi,AT2020cou,11:03:48.82,+06:48:00.5,898.88,g,18.8014,-,24.227,11.27,12.957,-,-,-,-,57.35774491,0.132
ZTF20aansmhs,AT2020cpc,12:53:24.58,-10:25:05.6,894.86,g,18.8961,-,>15.738,10.658,>5.08,-,-,-,-,52.45038336,0.11
ZTF20aansmkx,AT2020cpd,13:14:34.86,+00:18:01.8,904.98,r,18.6463,-,32.858,12.452,20.406,-,-,-,-,62.60225343,0.093
ZTF20aanvsru,AT2020cxb,17:13:00.13,+41:26:56.7,909.01,r,18.9129,-,>17.077,11.057,>6.02,-,-,-,-,35.42464208,0.063
ZTF20aaoflta,AT2020cto,05:25:04.24,+72:34:26.8,896.65,r,18.4295,-,>12.788,4.758,>8.03,-,-,-,-,19.69298852,0.315
ZTF20aaomfhr,AT2020cvs,05:48:19.54,+62:15:43.4,898.68,g,18.6689,-,15.321,9.888,5.433,-,-,-,-,16.91509787,0.367
ZTF20aapcdln,AT2020cxc,16:57:17.73,+26:18:19.9,912.04,g,18.7024,-,37.339,12.99,24.349,-,-,-,-,35.67582008,0.125
ZTF20aappggv,SN2020cwm,15:26:45.98,+02:53:22.4,905.00,r,18.7616,-,33.113,8.444,24.669,-,-,-21.23,0.46,45.67553401,0.124
ZTF20aaqglss,AT2020ibe,11:44:40.55,-09:35:17.3,963.71,g,18.6175,-,17.114,7.448,9.666,-,-,-,-,49.87428788,0.073
ZTF20aartqux,AT2021hed,13:54:24.89,+23:40:35.3,1302.84,g,18.5223,-,16.364,6.092,10.272,-,-,-,-,75.37674917,0.046
ZTF20aatpoiy,AT2020fpx,12:38:17.01,+46:04:29.1,944.86,r,18.778,-,43.727,27.169,16.558,-,-,-,-,70.87493866,0.046
ZTF20aatqbmw,AT2020fip,13:30:50.03,+15:56:36.5,944.86,r,18.8246,-,37.111,19.654,17.457,-,-,-,-,75.55655803,0.106
ZTF20aatqirk,AT2020fof,13:27:15.98,+00:52:31.1,955.81,g,18.9864,-,75.469,39.61,35.859,-,-,-,-,62.37457465,0.074
ZTF20aatvady,AT2020fwf,17:30:49.24,+34:10:16.8,953.95,r,18.7436,-,23.102,13.084,10.018,-,-,-,-,30.65189584,0.087
ZTF20aauolxq,AT2020fwm,15:17:40.57,+13:51:06.2,953.94,r,18.6559,-,28.707,8.694,20.013,-,-,-,-,53.44154347,0.118
ZTF20aauomdt,AT2020fxj,14:31:47.18,+23:45:51.9,956.86,g,18.7902,-,22.15,8.671,13.479,-,-,-,-,67.13733449,0.089
ZTF20aauonox,AT2020fxe,16:02:36.51,+34:08:07.3,955.92,g,18.814,-,23.499,10.21,13.289,-,-,-,-,48.65742107,0.078
ZTF20aaurfvz,AT2020hep,15:19:36.05,+11:12:06.2,976.82,r,18.8048,-,35.762,20.785,14.977,-,-,-,-,51.761731,0.106
ZTF20aausfxo,AT2020iax,10:10:59.42,-02:17:55.1,963.67,g,18.8543,-,32.519,17.456,15.063,-,-,-,-,41.43848793,0.107
ZTF20aautwvg,AT2020hli,10:43:42.14,+79:01:39.5,972.68,r,18.5295,-,43.785,26.964,16.821,-,-,-,-,36.2571118,0.06
ZTF20aauuwmg,AT2020hiz,11:48:55.86,+08:56:18.1,971.75,g,18.8781,-,25.963,14.956,11.007,-,-,-,-,66.56756108,0.06
ZTF20aauwtnz,AT2020hhv,14:52:47.85,+00:45:04.6,969.84,r,18.9558,-,>44.748,>29.9,14.848,-,-,-,-,50.71557001,0.134
ZTF20aauwwuu,AT2020hhd,17:37:47.85,+03:38:38.8,966.98,r,18.7128,-,23.918,11.907,12.011,-,-,-,-,18.02840166,0.574
ZTF20aavadou,AT2020ibg,10:43:54.59,+71:06:50.0,969.68,r,18.8571,-,22.996,12.286,10.71,-,-,-,-,42.5361652,0.124
ZTF20aavfurd,AT2020ibh,10:58:31.51,+81:04:42.8,969.74,g,18.9187,-,22.664,12.727,9.937,-,-,-,-,34.89499295,0.083
ZTF20aavgdwc,AT2020gzo,12:08:39.98,-16:01:38.9,956.75,g,18.5149,-,33.096,11.353,21.743,-,-,-,-,45.61394406,0.146
ZTF20aavhvdq,AT2020hot,14:10:44.71,-07:05:21.7,956.86,g,18.8203,-,24.268,8.415,15.853,-,-,-,-,50.76467529,0.09
ZTF20aavmurk,AT2020hrq,18:16:10.09,+34:21:25.5,964.96,g,18.9789,-,30.224,7.959,22.265,-,-,-,-,21.7130349,0.144
ZTF20aavnljl,AT2020hye,14:47:21.02,+26:46:49.0,972.88,r,18.6668,-,20.519,12.08,8.439,-,-,-,-,64.22527224,0.064
ZTF20aavnots,AT2020hvr,17:06:36.30,+66:59:00.4,970.87,r,18.6991,-,>21.903,14.913,>6.99,-,-,-,-,34.98535817,0.091
ZTF20aavogex,AT2020htf,10:48:08.63,+09:42:37.0,980.73,r,18.8028,-,33.84,20.677,13.163,-,-,-,-,56.12303988,0.07
ZTF20aavpwxl,AT2020hzk,12:38:06.35,+08:02:40.8,975.88,r,18.8167,-,27.585,14.935,12.65,-,-,-,-,70.65686433,0.068
ZTF20aavqbbd,AT2020igt,12:21:35.38,+39:41:32.1,974.77,r,18.7148,-,20.437,10.972,9.465,-,-,-,-,75.99017633,0.062
ZTF20aavrqtf,AT2020hyf,13:50:14.75,+43:26:18.8,968.87,r,18.6842,-,22.69,7.867,14.823,-,-,-,-,69.81729954,0.043
ZTF20aavxtjo,AT2020ick,14:16:12.13,-17:18:08.1,972.86,r,18.9093,-,21.211,9.903,11.308,-,-,-,-,41.04431202,0.275
ZTF20aawbzlo,AT2020iho,11:05:38.69,+30:49:57.2,980.76,r,17.685,-,35.053,15.04,20.013,-,-,-,-,66.62491946,0.062
ZTF20aawdaem,AT2020ipc,10:40:22.98,+55:23:38.7,980.74,r,18.6467,-,26.555,14.079,12.476,-,-,-,-,53.16343322,0.021
ZTF20aawfxpx,AT2020ibk,15:42:11.22,-18:14:35.5,970.86,r,18.9869,-,26.727,10.664,16.063,-,-,-,-,28.59212144,0.401
ZTF20aawfxyv,AT2020igc,15:44:45.12,+09:34:09.7,974.95,g,18.8161,-,>22.59,9.79,>12.8,-,-,-,-,45.57775713,0.101
ZTF20aawjdge,AT2020ink,09:55:04.42,+28:53:51.8,975.73,g,18.6131,-,>26.927,5.927,>21,-,-,-,-,51.25886138,0.057
ZTF20aawknzg,AT2020ihq,10:52:41.11,+38:19:02.6,974.67,g,18.9706,-,23.075,6.87,16.205,-,-,-,-,62.789523,0.04
ZTF20aawkqgl,AT2020ihn,11:53:34.33,+12:59:22.6,975.75,g,18.7799,-,18.14,7.416,10.724,-,-,-,-,70.42631839,0.095
ZTF20aawkskq,AT2020jec,11:30:29.67,+21:14:24.4,974.69,g,18.8652,-,26.311,4.944,21.367,-,-,-,-,70.65184279,0.054
ZTF20aawkwvo,AT2020isn,14:27:12.88,+30:16:38.8,976.80,r,18.7844,-,17.86,7.977,9.883,-,-,-,-,68.80356797,0.049
ZTF20aawxvwf,AT2020jdx,20:31:33.12,+24:24:43.3,980.99,r,18.9137,-,23.275,9.815,13.46,-,-,-,-,-8.88235575,0.742
ZTF20aawzhim,AT2020ioa,10:05:20.43,+37:56:19.8,980.73,r,18.7551,-,>59.457,12.487,>46.97,-,-,-,-,53.69208986,0.059
ZTF20aaxgbtu,AT2020jed,11:39:54.90,+10:54:27.6,974.69,g,18.879,-,18.317,4.157,14.16,-,-,-,-,66.63272377,0.161
ZTF20aaxmfow,AT2020iob,19:01:16.56,+39:57:57.2,977.95,r,18.9586,-,20.72,9.049,11.671,-,-,-,-,15.28514263,0.535
ZTF20aaxukgn,AT2020jdw,10:35:30.41,+37:11:30.5,977.66,g,18.6184,-,22.063,4.908,17.155,-,-,-,-,59.71476056,0.047
ZTF20aaxzkfy,AT2020iyf,10:13:40.59,+50:09:24.3,980.68,g,18.8707,-,23.85,7.964,15.886,-,-,-,-,52.22928109,0.018
ZTF20aaydspc,AT2020jbs,12:52:58.80,-15:46:44.3,981.73,r,18.6602,-,>27.065,9.025,>18.04,-,-,-,-,47.09107452,0.154
ZTF20aayicdu,AT2020jnt,11:28:55.31,+47:05:59.8,985.69,g,18.7726,-,24.397,11.235,13.162,-,-,-,-,64.29199407,0.044
ZTF20aaykndv,AT2020jhp,11:25:43.32,-06:12:40.1,978.69,g,18.884,-,22.031,8.072,13.959,-,-,-,-,50.73854634,0.118
ZTF20aaynyue,AT2020jfz,11:51:11.90,+12:24:38.5,985.67,g,18.6724,-,23.509,12.013,11.496,-,-,-,-,69.60905194,0.095
ZTF20aaypjjk,AT2020jhk,10:44:08.12,+09:34:11.2,980.67,g,18.7486,-,24.799,9.067,15.732,-,-,-,-,55.23206154,0.071
ZTF20aaypknr,AT2020kbf,10:31:52.35,+29:21:21.3,985.67,g,18.8984,-,>19.123,9.123,>10,-,-,-,-,59.29433178,0.073
ZTF20aayvlky,AT2020jnv,11:24:42.24,+34:52:58.0,991.67,g,18.7979,-,27.924,9.895,18.029,-,-,-,-,69.91673721,0.054
ZTF20aayvour,AT2020jhu,12:15:09.87,-10:52:20.8,987.71,g,18.7368,-,>21.509,9.489,>12.02,-,-,-,-,50.99381438,0.142
ZTF20aayvycp,AT2020jio,16:58:10.88,+46:53:47.7,991.78,r,18.7686,-,52.737,12.506,40.231,-,-,-,-,38.4163605,0.094
ZTF20aazhxjf,AT2020jqy,14:11:39.23,-11:23:01.7,986.72,g,18.7963,-,27.323,7.414,19.909,-,-,-,-,46.8510726,0.154
ZTF20aaznsyq,AT2020juj,17:13:58.98,+03:29:21.9,985.88,r,18.6911,-,31.463,6.84,24.623,-,-,-,-,23.21719119,0.506
ZTF20aazpxpy,AT2020jzk,15:37:52.78,+19:17:23.2,992.79,r,18.9551,-,27.517,8.544,18.973,-,-,-,-,51.14166858,0.136
ZTF20aazqmid,AT2023ari,15:54:50.20,+46:34:14.5,1985.00,g,17.6219,-,40.186,12.602,27.584,-,-,-,-,49.22797098,0.039
ZTF20aazrbxq,AT2020kgx,11:32:42.49,+30:06:23.1,997.73,r,18.8665,-,21.757,9.758,11.999,-,-,-,-,72.49028466,0.064
ZTF20aazrlbt,AT2020kdk,10:49:35.75,+49:10:13.0,997.68,g,18.7355,-,23.767,8.02,15.747,-,-,-,-,57.84343759,0.042
ZTF20aazsglm,AT2020lfv,13:43:27.09,+45:29:51.6,997.72,g,18.9054,-,40.922,7.616,33.306,-,-,-,-,68.91509681,0.055
ZTF20aaztdiv,AT2020kmf,15:05:32.84,+08:13:31.1,995.76,r,18.9278,-,28.199,14.215,13.984,-,-,-,-,53.08413888,0.086
ZTF20aazxvjy,AT2020ked,12:52:43.89,-07:29:32.6,986.69,g,18.9903,-,44.351,17.909,26.442,-,-,-,-,55.37789756,0.094
ZTF20aazylrg,AT2020krx,11:34:35.82,+27:11:22.4,1004.69,g,18.7433,-,30.233,12.69,17.543,-,-,-,-,72.92457528,0.068
ZTF20aazyumm,AT2020kfv,13:37:28.46,-03:44:18.1,998.69,g,18.8152,-,25.363,12.146,13.217,-,-,-,-,57.19365812,0.103
ZTF20ababfpj,AT2020kfa,16:32:54.66,+79:30:09.8,1001.89,g,18.8741,-,27.977,12.478,15.499,-,-,-,-,32.7178635,0.108
ZTF20abaccvn,AT2020jxw,15:57:11.40,-01:32:28.5,992.81,r,18.9839,-,27.383,10.835,16.548,-,-,-,-,36.93004843,0.407
ZTF20abaizkk,AT2020kwf,15:12:52.87,+69:04:23.9,995.81,g,18.6895,-,20.677,4.713,15.964,-,-,-,-,43.24718989,0.054
ZTF20abakgww,AT2020kmh,13:53:26.29,+44:21:48.2,1000.77,g,18.6925,-,24.558,9.893,14.665,-,-,-,-,68.74188823,0.024
ZTF20abasaup,AT2020lcs,22:33:45.31,+44:26:17.9,1002.97,r,18.6397,-,24.317,12.054,12.263,-,-,-,-,-11.82590154,0.464
ZTF20abatpqr,AT2020kxo,11:41:20.80,+25:43:39.0,1004.69,g,18.9064,-,22.963,12.985,9.978,-,-,-,-,74.25884604,0.074
ZTF20abazhud,AT2023gum,17:54:40.35,+66:49:17.2,2073.91,r,18.6545,-,25.547,12.535,13.012,-,-,-,-,30.33532364,0.125
ZTF20abbccsa,AT2020lav,13:21:39.14,+37:42:00.8,1004.70,g,18.5674,-,22.821,7.793,15.028,-,-,-,-,77.66488409,0.031
ZTF20abbfhxd,AT2020lfu,12:55:00.07,+62:28:17.3,1004.71,g,18.7327,-,21.662,8.776,12.886,-,-,-,-,54.65200703,0.038
ZTF20abbfpyh,AT2020kwb,17:52:00.24,+64:21:38.3,1004.80,r,18.7823,-,21.018,8.972,12.046,-,-,-,-,30.65328651,0.093
ZTF20abbpqiu,AT2020lra,19:17:28.06,+42:00:09.1,1009.87,r,18.8513,-,22.866,13.428,9.438,-,-,-,-,13.30744774,0.249
ZTF20abbulea,AT2020lhg,14:32:16.49,-03:23:35.9,1001.87,g,18.9308,-,19.146,4.94,14.206,-,-,-,-,50.97060582,0.226
ZTF20abbvcjt,AT2020let,16:39:30.28,+48:51:52.5,1005.72,g,18.9634,-,25.732,6.685,19.047,-,-,-,-,41.46455799,0.05
ZTF20abchjdk,AT2020lfb,22:40:49.02,+24:56:31.0,1013.86,r,18.929,-,21.095,14.665,6.43,-,-,-,-,-29.15246342,0.172
ZTF20abeevyo,AT2020mfv,14:16:27.80,-05:36:59.5,1021.73,r,18.9013,-,34.635,15.159,19.476,-,-,-,-,51.3366773,0.106
ZTF20abeewpi,AT2020mde,13:46:16.54,+02:55:00.6,1015.72,r,18.7483,-,31.348,9.719,21.629,-,-,-,-,62.4633455,0.064
ZTF20abefbjx,AT2020mbd,14:17:38.95,+19:31:50.4,1018.70,g,18.8177,-,32.263,14.932,17.331,-,-,-,-,68.83951256,0.077
ZTF20abefdcc,AT2020mbx,12:21:28.95,+50:04:46.2,1019.72,r,18.8317,-,25.483,8.87,16.613,-,-,-,-,66.34329039,0.046
ZTF20abefeab,AT2020mbq,15:40:15.26,+25:00:04.7,1031.69,g,18.8303,-,41.939,23.411,18.528,-,-,-,-,52.20489562,0.131
ZTF20abeifkj,AT2020lqs,15:11:11.51,+60:15:50.0,1014.74,r,18.5583,-,24.085,12.822,11.263,-,-,-,-,49.27226779,0.035
ZTF20abejxbh,AT2020met,15:24:01.64,-24:23:00.6,1011.75,r,18.583,-,24.238,8.719,15.519,-,-,-,-,26.69422897,0.385
ZTF20abevcoo,AT2020mmc,11:43:11.22,+39:42:19.4,1013.73,g,18.6221,-,20.26,3.02,17.24,-,-,-,-,71.06131363,0.051
ZTF20abewzpe,AT2020mmn,22:36:10.89,+37:31:50.8,1025.89,r,18.662,-,26.297,13.085,13.212,-,-,-,-,-17.97592366,0.463
ZTF20abezrwc,AT2020mns,16:07:46.55,-19:30:47.6,1029.71,r,18.9687,-,>33.051,17.031,>16.02,-,-,-,-,23.39736202,0.644
ZTF20abfqfnt,AT2020nik,14:42:36.52,+55:40:07.6,1029.74,g,18.8348,-,25.444,8.477,16.967,-,-,-,-,55.14273649,0.041
